gene,pvalue
PDCD6,0.719522
TOB2,0.71951234
ZNF621,0.7194861
CHMP2B,0.7194822
ECHDC1,0.7194632
GLRA3,0.71944827
ZNF676,0.7194187
OGDHL,0.7193872
KRR1,0.7193863
ADGRB1,0.7193815
SCNN1B,0.7193463
MT1E,0.7192547
SVIP,0.7192132
RSL24D1,0.7192124
ARHGEF18,0.71920764
IQSEC1,0.7191757
CACNG4,0.7191671
TTF2,0.7191639
AARS2,0.7191527
KRTAP12-4,0.71911883
CD58,0.7191014
DCAF5,0.7190554
CCL28,0.7190374
ZNF721,0.719037
RECK,0.71903634
FGF20,0.719007
ADAM17,0.7189977
MPST,0.7189555
ABCB4,0.7189455
KLC3,0.7189454
LTF,0.7189436
SFTPA2,0.71893203
PI4KB,0.7189166
UVRAG,0.7189063
NDUFB1,0.71889734
IL23R,0.7188879
CMPK1,0.7188797
ANK2,0.7188581
HTR3B,0.7188376
ACADM,0.7188232
PSENEN,0.71881723
GORASP2,0.7188091
NRF1,0.7187791
ALDH4A1,0.7187778
SIRPB1,0.7187693
MYO19,0.71875924
SART3,0.7187528
IL36RN,0.71874654
PRLR,0.7187295
PPARA,0.71872735
EIF2S2,0.71872425
FGF9,0.71869016
TCF4,0.71868277
URM1,0.71866703
GPR35,0.7186384
HIST1H3J,0.7185998
GCG,0.71856487
KDELR1,0.71854323
TXK,0.7185421
PHB,0.71852136
STX1B,0.7185129
DYNLRB2,0.7184967
ADRA1B,0.71848094
ACOT12,0.7184555
GABRA2,0.71844363
SSTR1,0.7184359
ACO2,0.7183659
RAPGEF6,0.71835375
KRT2,0.7183485
PIK3R4,0.71833587
RPL36AL,0.7183325
KRTAP19-6,0.71830595
INHBB,0.7182474
RAB35,0.7182454
L3MBTL4,0.7182224
COIL,0.71821564
NADK,0.7181847
DDO,0.7181573
VLDLR,0.71810937
GPKOW,0.7181076
SULT1A2,0.71806616
NLN,0.71805465
ZNF235,0.7180521
MAPK8IP3,0.7180492
GLG1,0.7180456
FSHB,0.718043
ATP2B2,0.7180028
DAP3,0.7179991
PRSS1,0.7179836
FPR2,0.71791124
NOC4L,0.71786684
KMT5A,0.71784043
SEC11A,0.71781707
RTN3,0.7177589
GOLGA6A,0.7177107
LAMTOR1,0.71767235
MICALL2,0.71761554
ZNF519,0.7176141
MT1A,0.71754426
CAMK1D,0.71753806
ADCY8,0.7174678
CACNA1C,0.71746296
EIF3A,0.717458
LEPR,0.7174401
SIX4,0.7174387
MYOZ1,0.717417
ZNF436,0.71741116
PPIP5K2,0.7174026
PTGDR,0.7173903
ZNF669,0.71737134
VIPR1,0.717368
PI4K2A,0.71735716
GATC,0.7173456
SARNP,0.7173432
YY1,0.7173392
ZNF585A,0.71733224
MRPL38,0.71733165
SNIP1,0.71732867
PTPN21,0.7173152
RIN1,0.717287
ZNF878,0.71724385
PIP4K2B,0.7172427
CD79A,0.7172417
EBI3,0.7172259
CENPU,0.7172174
WDR83,0.717215
BLVRB,0.71719944
ARHGDIG,0.71719885
ZNF554,0.7171707
SCN2A,0.7171581
WNT6,0.7171528
SLC39A1,0.71714014
COQ7,0.7171306
TACR2,0.7171228
CYBB,0.71712196
TRIM28,0.7171154
ZNF701,0.7171086
IL27RA,0.7170991
TSLP,0.7170923
ADCYAP1,0.71706474
IL22,0.7170385
ARID2,0.71703523
GH1,0.7170098
RGMB,0.7169844
LAIR2,0.71697855
KRTAP5-7,0.7169602
IGF2BP3,0.71695346
HYAL2,0.7169513
ICAM3,0.7169377
NRG1,0.7169053
TNFSF15,0.71688884
ZNF98,0.7168851
NAA38,0.71687496
RSRC1,0.7168716
HAGH,0.71685475
GHRHR,0.71682847
FNIP1,0.71680534
MATN4,0.7167635
ZNF136,0.71675813
HPRT1,0.7167139
RAD9B,0.71671265
FGFR1OP2,0.7166888
ATP1B1,0.7166745
NDUFS4,0.71666545
NPPB,0.71666473
BDKRB2,0.71666306
HES1,0.7166487
RIMS2,0.7166375
RUVBL2,0.7166216
CEP72,0.716589
TNFRSF21,0.7165841
SLC7A5,0.7165803
HCN4,0.71657825
SAMHD1,0.7165572
MAP3K13,0.716546
PRDM16,0.7165415
ISG15,0.7165329
ODF2,0.7165122
NMNAT3,0.71651185
TSHR,0.71650857
DIAPH2,0.71650064
PRLHR,0.7164973
VTI1B,0.7164926
IL1F10,0.7164786
NPY2R,0.71647406
CAT,0.71646965
SUZ12,0.71646893
CCL27,0.71646136
CCR4,0.71645635
YKT6,0.7164552
DRD3,0.7164426
C5AR1,0.7164351
NACAD,0.7164283
NCKAP1L,0.71641207
HLA-DQB1,0.7163992
SUPT3H,0.71635425
FKBP14,0.71635026
CEP162,0.71631265
FRMD3,0.71629226
PLXNA4,0.7162707
TNFSF14,0.7162682
CCP110,0.71625924
ID1,0.71625423
PREB,0.71623796
PSMD5,0.7162312
CD209,0.7162196
HSD17B8,0.71621454
SDHD,0.71620953
LIMK2,0.7162003
XRCC2,0.7161898
MT1B,0.71618354
PPT1,0.71617806
PLA2G1B,0.71617573
QRFPR,0.7161605
GNAL,0.71615744
MTM1,0.716094
COPS7B,0.7160828
KRT83,0.71606195
NR2C2AP,0.7160415
DHCR7,0.71603703
NONO,0.7160322
THOP1,0.71603084
ATG4C,0.7160276
RARS2,0.71602076
ARIH1,0.71600735
RASGRF1,0.7159889
PNLDC1,0.7159039
GABRB2,0.71590245
KCNIP4,0.71588695
ZNF99,0.71587515
CLN5,0.7158505
GABRA5,0.71582574
PCYT1A,0.71571326
EIF3D,0.7156935
DDX18,0.71569175
AGXT,0.7156777
KRTAP5-11,0.7156416
CLDN7,0.71563685
RAB4A,0.7156191
GCDH,0.71561766
CGN,0.7156123
APPBP2,0.7155559
ZNF582,0.7155391
SDC3,0.71553177
TNFSF18,0.7154862
S1PR5,0.71546334
ACSL3,0.7154566
ZNF439,0.7154543
HEXA,0.71541464
CRTC1,0.71539366
ITPKC,0.71539116
TAS1R2,0.71537846
SLCO1A2,0.7153741
CSF2RA,0.7153648
CAMKMT,0.7153233
SPDL1,0.7153201
CXCR2,0.71530074
BCAT1,0.71528757
HTR1B,0.7152648
ADRA2C,0.7152454
KYAT1,0.71523565
GBP1,0.71523494
MTAP,0.7152027
VKORC1,0.7152003
IGF2,0.71519107
NPFFR1,0.71518105
COX8A,0.7151742
ZNF615,0.7151741
CCN4,0.71515644
NRP1,0.71512413
ANKHD1,0.71507996
MYBPC1,0.7150501
TRAF1,0.71504915
SIRT4,0.71504307
PAXIP1,0.71502227
ANGPTL4,0.714987
ATP2A3,0.71498597
RRAGA,0.7149812
F3,0.7149796
GINS3,0.71497834
COL16A1,0.7149584
HSPE1,0.71494675
GTF2A1L,0.71489275
ALDOB,0.7148835
ZFP36L2,0.71488136
TMSB4Y,0.7148542
KIR2DL1,0.7148498
RNF43,0.7148456
UNC13B,0.71484256
SLC9A3R2,0.7148328
SCNN1G,0.71482056
RPS6KC1,0.71480405
PRKD3,0.7147813
STX19,0.7147796
ANG,0.71474093
GALNT2,0.71473825
NME4,0.7147306
KRTAP5-3,0.71471757
PCOLCE,0.71468914
WASHC1,0.7146861
COQ2,0.7146733
COA3,0.7146699
CA5A,0.71466434
SH3GL3,0.71466434
TAC1,0.71466196
KHDRBS3,0.7146554
ZCRB1,0.71464884
DBT,0.71463645
ZNF431,0.71462864
MGAT4D,0.71462506
SORBS3,0.714601
CD300LG,0.71458834
AGPAT2,0.71458125
TEX10,0.7145335
SEC11C,0.7145314
CALCRL,0.7145256
APOH,0.7144979
YTHDC1,0.7144846
GAPDH,0.7144741
HLA-DOA,0.7144722
KRTAP9-4,0.714468
DPF3,0.7144026
GEMIN2,0.71439385
OTUB1,0.71437734
POU4F2,0.71435714
BLVRA,0.714298
FUCA1,0.71428865
INPP5K,0.7142632
CCN2,0.7142267
EFNA3,0.71421134
STAT4,0.71420085
EEF2K,0.7141893
AHSA1,0.71417874
DFFB,0.7141687
ZNF805,0.7141613
RRAS2,0.7141011
ABCB10,0.71409214
MTNR1A,0.7140879
IP6K3,0.714077
TMEM216,0.71406484
NOS2,0.714039
TRAM1L1,0.71403706
IL7R,0.71400607
EFNA4,0.71396273
NTNG1,0.71394956
ZNF585B,0.7139399
SIRT6,0.7139287
KRTAP17-1,0.713916
S1PR2,0.71389043
EIF3B,0.7138889
MCOLN2,0.7138791
SLC25A4,0.7138738
STX3,0.71386975
NDUFA6,0.71383655
GRK6,0.7138359
ALG9,0.7138273
RIMKLB,0.7138149
ROBO3,0.7138138
HMOX2,0.7138085
NUP210,0.7137917
WIPF2,0.71378726
UBXN7,0.7137855
AK5,0.71377176
JAG2,0.7137376
TNIK,0.7137188
DDX1,0.71369404
P2RY2,0.71366704
FZD6,0.7136654
CA12,0.71365535
HLA-DOB,0.7136485
ZBTB24,0.71364754
GAS1,0.71363163
BPNT1,0.7136264
KCNQ2,0.7136245
GALNT18,0.7136129
CD244,0.7136108
RBM10,0.7135789
CELA1,0.7135478
PARS2,0.71354026
MAP3K10,0.7135291
TRIM41,0.71352315
F13A1,0.71351516
RFXANK,0.7135104
P2RY6,0.71349657
GPR39,0.71349096
STX10,0.71348464
MMP25,0.7134611
SNX15,0.71344584
ORAI2,0.71342343
SRPRB,0.71341777
ZRANB1,0.71338296
VANGL2,0.7133648
CLCA4,0.71333504
CD47,0.71333086
LPCAT1,0.71330565
STX18,0.71330535
GNAS,0.71329117
PCLO,0.71326864
NOXA1,0.7132524
PLA1A,0.71323264
HBZ,0.71320975
HTR4,0.71318644
AKR1C4,0.71317625
WNT4,0.7131691
TUBGCP3,0.713166
S1PR3,0.71316475
ZNF354C,0.71312207
APOC3,0.71312
KMT5B,0.7130681
MAP2K5,0.713068
CHRNB4,0.71304464
PGK2,0.71302545
NPY,0.71301496
CYBRD1,0.71300316
CEBPB,0.71298766
NAPRT,0.7129874
CLDN11,0.71296257
EDN3,0.71295726
ZNF256,0.7129377
RAB39B,0.7129309
SLC3A1,0.71290183
CLEC4G,0.7128911
PES1,0.71283764
CPLX2,0.7128334
MAN2B1,0.7128307
ZNF225,0.71280783
ATP2A1,0.7128042
KRTAP5-4,0.7127267
HMGB1,0.7126917
NCR2,0.7126732
TUBGCP4,0.7126622
SEMA6D,0.71266127
GRPR,0.71264833
GABRG3,0.71263003
DYNC2H1,0.71258897
MMAB,0.71258277
TFAP2A,0.7125821
WAS,0.7125759
ERCC6,0.71255076
ZNF343,0.71252215
TNFRSF25,0.7124891
HRH4,0.71248025
VAMP7,0.712463
ATG7,0.71246123
ATP2B1,0.7124522
DEPTOR,0.712451
COPE,0.7124464
SEMA7A,0.71243143
GNPNAT1,0.71238184
PRDM4,0.71233416
LSAMP,0.7123103
TNFSF9,0.7122992
PPARGC1B,0.7122892
BUD13,0.71228385
CLDN2,0.7122792
KDM3A,0.7122531
MSTN,0.71221197
ADRA1A,0.7122015
TNNT1,0.71217954
IHH,0.71217847
PLXNA1,0.7121731
KIZ,0.7121269
GDF2,0.7121224
EIF3G,0.71211624
SORD,0.7121019
PCDH17,0.7120775
MNX1,0.7120439
GBP3,0.71203727
SYNRG,0.7120339
ATP6V1F,0.71203065
DGKD,0.71200985
F2RL3,0.7120058
ASPA,0.7119958
LIG1,0.71199095
HPN,0.71197855
FLAD1,0.71197194
SEMA4C,0.7119638
SUPT5H,0.7119498
NMNAT1,0.71193767
RAP2C,0.7119376
CSH1,0.711926
RNF182,0.7119169
CHRM1,0.711915
PCCB,0.71189487
SEMA3F,0.7118742
NQO1,0.71184015
ATG10,0.7118143
DGKI,0.7117755
ARHGAP32,0.71175903
ZNF12,0.7117518
CX3CR1,0.71171856
CSDC2,0.7116882
SCN4B,0.7116401
EDAR,0.7116353
KRTAP19-1,0.71161956
CYP2A7,0.7116169
RASSF2,0.7116143
PLS3,0.71155494
TUFM,0.7115342
FBXO11,0.7115297
REC8,0.7115275
FRAS1,0.7114692
TACR1,0.71137166
MMP16,0.7112708
POMC,0.7112674
MGST1,0.711267
KRTAP10-6,0.7112555
NFKBID,0.71121997
RRS1,0.7112099
KDM3B,0.7111814
STAG3,0.71116674
ATP6V0C,0.7111515
KHDRBS1,0.71113956
HLA-DMA,0.7111223
SFN,0.7111205
LDHD,0.7111084
CLEC4E,0.711085
ELL2,0.71106637
EPHA1,0.71106195
PAX4,0.7110545
B3GALNT1,0.7110324
LIMA1,0.7110305
B3GALT2,0.7110162
TRIP4,0.71095943
GADD45GIP1,0.71093583
PDLIM7,0.71087736
NPNT,0.71085477
ASGR1,0.71084833
NACA2,0.710829
ZNF112,0.71082723
PTPRZ1,0.710816
UCHL5,0.71081257
TRIM54,0.71081203
HYLS1,0.71081007
COX17,0.71079373
KRT71,0.71078765
PRPF4B,0.71078086
CEBPZ,0.7107715
MTR,0.7107708
PAFAH1B3,0.7107538
DOCK6,0.71073616
PIAS1,0.71071506
NRG4,0.71071374
CLDN18,0.7106918
FIS1,0.71068954
OGG1,0.7106743
PANK1,0.7106682
SEC31B,0.71064824
MBTD1,0.7106466
HIBADH,0.7106241
STT3B,0.71060914
NDUFB3,0.7106073
PODXL,0.7106061
PROCR,0.7105805
SERPINB11,0.71056545
ZNF20,0.71051973
DOK1,0.7105057
ZNF10,0.7105025
SCD,0.7104899
LPAR6,0.7104882
RAB27B,0.71048653
CEP89,0.7104851
POU2F3,0.71046865
RAPGEF4,0.7104685
ANGPT4,0.7104176
DCAF17,0.71041334
MAPRE1,0.71039176
MAFA,0.71038985
LUC7L3,0.7103762
GPX8,0.7103655
IFI30,0.7103431
BMP15,0.71031684
FGF8,0.71031547
HAUS8,0.71031183
ZNF224,0.71030086
THBS3,0.7102937
TMEM17,0.710269
ZNF774,0.71026677
ACADS,0.7102658
NCR3LG1,0.71023846
E2F5,0.71022695
HGD,0.7102158
SGK1,0.7101938
NIFK,0.7101921
FNTA,0.7101829
KCNE1,0.71016
SLC17A5,0.71015906
DECR2,0.7101326
DBN1,0.7101282
PLA2G2A,0.7101215
NFASC,0.71009177
ZNF655,0.71007085
CTU1,0.71006984
AGTRAP,0.71004075
NMUR2,0.7100332
UPP2,0.71003026
TAF7L,0.7100231
WARS2,0.7100204
ST3GAL3,0.71001995
UBASH3B,0.71000504
KRT80,0.7099849
C9orf78,0.7099724
CLDN10,0.7099571
ARHGAP35,0.70995635
EIF3F,0.70992935
IFNGR1,0.70992154
APBB1IP,0.7098875
SLC7A1,0.709883
CLCA2,0.70984864
PTAFR,0.7097902
TERF2,0.7097883
ICAM2,0.70975924
ZCCHC8,0.70975673
PDE7B,0.7097565
CXCR1,0.7097484
ILK,0.70971465
TCF7L1,0.7097106
DDX27,0.70969856
TNFRSF11A,0.70969605
LGALS4,0.7096774
ZNF408,0.70966864
DNALI1,0.70966506
TOMM7,0.70964134
NAV2,0.70964
GLRA1,0.709636
ZNF516,0.7095866
CLDN15,0.7095822
GPC4,0.7095735
CCKBR,0.70955265
HEPACAM2,0.7095307
KRT78,0.70952857
PTK2B,0.70951384
PYDC2,0.709507
PCYT1B,0.7094985
LHB,0.709484
LPL,0.70947754
CXCL3,0.7094743
ORAI3,0.7094412
MON2,0.70940053
SULT2A1,0.70940006
INPP5B,0.7093588
CRB1,0.7093422
DET1,0.70933974
KRTAP5-2,0.70931995
HEPHL1,0.70931196
SLC6A2,0.7093004
NOP53,0.70928943
COX7C,0.70922315
SPRY1,0.70918167
ZNF506,0.70915025
HAUS6,0.7091297
ADM,0.7091269
GNE,0.7091234
DRD1,0.7091173
GUCY2C,0.7091078
LPIN3,0.709094
PCK1,0.7090592
FZD5,0.7090565
ATF7,0.7090346
VTCN1,0.70903033
DCUN1D1,0.70900935
B3GNT3,0.7090043
PTK6,0.7089745
VDAC3,0.7089722
RBM42,0.7089559
NODAL,0.708929
LRCH4,0.70891064
SPOPL,0.7089092
NOLC1,0.70890296
HPGDS,0.708897
RBSN,0.708888
CARD10,0.70887935
PORCN,0.70887554
SLC39A2,0.70887506
RAG1,0.7088679
LMO1,0.70886326
RBM5,0.7088606
FGF22,0.7088346
CD8A,0.708832
BET1L,0.7088246
NTN1,0.70882195
ZCCHC7,0.7088182
CADM3,0.70880127
HADH,0.7087823
CYP3A7,0.70874274
BCL6,0.70869255
CD68,0.7086854
L3MBTL3,0.7086687
CRYAA,0.7086498
FHL5,0.70860636
BRK1,0.7085861
TNFSF10,0.7085685
HIST1H3I,0.70851016
EXT2,0.7084969
DPM1,0.708472
RANBP9,0.7084545
NDUFAF7,0.7084477
HNRNPDL,0.7083944
LDLR,0.7083832
NTNG2,0.7083761
GSS,0.7083602
CCR8,0.7083363
PPL,0.7083075
CD70,0.7082968
MSX1,0.7082802
TCIRG1,0.7082765
FGF14,0.7082702
PDCD11,0.70822996
BPIFB3,0.70822424
SSTR2,0.70822287
TXNRD3,0.70822215
RDH11,0.70821464
SYNJ2,0.70819944
CBX1,0.7081909
MS4A1,0.70809317
RUSC1,0.7080761
HIST1H3D,0.70806026
FZD9,0.7080347
APRT,0.7080287
GRID2,0.70802844
PTPA,0.7080127
ZNF566,0.7080125
GLO1,0.70798415
ALDH5A1,0.7079768
PTPRK,0.70797145
FCER2,0.707946
NBL1,0.70789164
AUH,0.70786583
EXO1,0.70783323
PDE7A,0.7078316
KRT85,0.70779645
SEC61A1,0.7077956
CD5,0.70778775
ATP6V1G2,0.70778203
KCNQ3,0.70776737
GLRX3,0.707754
LTB4R2,0.7076938
HERC4,0.707679
ZNF25,0.7076521
MC1R,0.70765203
HOGA1,0.7076327
VRK3,0.70761347
CHRNA10,0.7076065
ATP2B4,0.70759845
NRCAM,0.707576
RGS18,0.7075541
MRPL30,0.7075361
HIST1H3C,0.70752454
CGNL1,0.70740217
CFHR2,0.7074015
GALNT1,0.7073716
GLYR1,0.7073523
ANGPTL8,0.70733964
IL17RB,0.70732397
DUOX1,0.70731926
SULT2B1,0.70731276
KCNE2,0.7073096
PIK3C2A,0.7072961
ZNF589,0.7072936
CEP57,0.7072882
FABP3,0.70728433
RAB11FIP5,0.707283
ATP2B3,0.7072646
MTMR3,0.70724726
MBOAT1,0.7072417
KCNMB4,0.7072382
WNT2B,0.7072376
DPPA4,0.7072114
GCNT3,0.70720947
MLH3,0.7071969
SPTBN2,0.7071949
THSD7A,0.7071508
ST6GALNAC4,0.70713943
AQP3,0.70713365
CYTH3,0.7071311
CNDP1,0.70712173
SUGT1,0.707121
MRPL41,0.70710635
SLC30A1,0.70710564
DTNBP1,0.7071042
CLDN19,0.7070937
PSG1,0.707078
FYTTD1,0.70706916
CLEC4M,0.7070655
SMPD2,0.70706546
DDX39A,0.70704424
AK1,0.7070441
NPY1R,0.7070004
IQGAP3,0.70699424
SAMD11,0.70698404
RAB11FIP2,0.7069682
S1PR1,0.7069645
PPM1K,0.7069497
ACSL4,0.7069492
CALU,0.70693225
ZNF385B,0.70691824
PTPRH,0.7069154
ANKRD49,0.70690894
IL1RL2,0.70689046
IL4,0.7068889
SIGLEC12,0.70687956
NPFFR2,0.7068533
SCP2,0.70684314
GSTO1,0.706807
TPP1,0.7067666
AURKB,0.7067546
PSMD10,0.7067517
SESN3,0.70672244
GGT6,0.70671904
RBM6,0.70671195
MT1F,0.7066834
NOP2,0.70668316
NDUFB2,0.70667285
GCH1,0.7066673
RRAGD,0.70665324
PDCD1LG2,0.7066431
ATP1A2,0.7066364
AK3,0.7066182
TRIM47,0.706601
DPP6,0.7065735
NT5C1A,0.70656055
PSD,0.70654774
FUT7,0.70653546
NUDC,0.70652485
FAR2,0.70651597
COLEC11,0.70650184
RRAD,0.7064907
KRT4,0.70648587
SRSF12,0.70646447
PGD,0.70646185
ANXA11,0.7064556
DGKQ,0.7064475
NDUFC2,0.706428
KCNJ12,0.7064223
NMU,0.70642227
SLAMF1,0.7064199
MORF4L2,0.70636004
PLEC,0.7063274
ACOT2,0.7063043
OPRM1,0.70629686
RNF115,0.7062839
ALS2,0.7062673
RBFOX2,0.706263
COQ3,0.7062559
PRL,0.70624775
SH2D1A,0.70623684
NOG,0.7062335
BRICD5,0.7062246
ST3GAL4,0.7061655
VAMP2,0.70615786
TAF4B,0.7061291
CRLF2,0.70612097
APH1A,0.70611787
TFF1,0.70611614
SLC6A9,0.70611334
ZNF304,0.7061073
LCLAT1,0.70608443
ZNF282,0.7060609
TLN2,0.7060131
RASGRP4,0.7060056
CYC1,0.70600545
CHRM2,0.7059915
TMBIM6,0.7059331
HTR1E,0.7059299
EARS2,0.7059209
BMPR1B,0.70592064
SON,0.7059121
CLCN2,0.7058791
SNX4,0.70586246
LAMTOR2,0.7058489
SLC16A2,0.7058486
P2RY14,0.7058019
MPP4,0.70577717
NDRG1,0.70577514
DNAJC1,0.70575684
PICALM,0.7057141
MTTP,0.70566624
LCOR,0.70564836
MGAT1,0.705632
SEMA6A,0.7056222
CBLB,0.7056064
CD226,0.7055936
KRTAP10-11,0.70553994
ZNF3,0.70553654
MT1X,0.7055353
ZRSR2,0.70551
CCR9,0.7054863
FXN,0.70545834
C3AR1,0.70544696
RRP9,0.70542026
SEC62,0.705415
DUSP21,0.7054097
AIMP2,0.70540607
ZNF77,0.70539904
PRKCE,0.7053973
FPR1,0.7053952
NNT,0.705383
SLC24A1,0.7053451
TRPV1,0.70529747
VEGFC,0.7052971
COPS2,0.7052948
UBE3C,0.70527357
LGR5,0.7052593
FRS3,0.7052564
AKR1D1,0.7052509
IP6K1,0.70522964
ULBP1,0.70522416
EME2,0.7052209
EPHA5,0.7051872
SLC10A2,0.70517814
DNAI1,0.7051751
SMO,0.70517063
TNFRSF10C,0.7051548
CASP10,0.70511025
TUBGCP2,0.7050881
CENPP,0.7050704
TRIM50,0.7050686
SEMA4F,0.7050686
CA5B,0.70506704
PTGIS,0.70503986
RRAS,0.70502245
MRPL39,0.704986
CRHR2,0.7049503
ACSL1,0.7049293
PAFAH1B2,0.7049022
NSMAF,0.7048788
RABEP2,0.7048719
MEOX2,0.70483184
LTA,0.70482075
ACSL5,0.7048148
CHIT1,0.7047943
HMMR,0.70479316
ZNF568,0.70479196
ASAP2,0.70477223
PCCA,0.70474994
ABCB5,0.7047262
FGD3,0.7047025
ZNF529,0.70469755
PEX7,0.7046964
NCAPG,0.70467865
PIGA,0.7046723
NR0B1,0.7046601
CSTA,0.7046546
DNAJC8,0.70463395
TSPAN1,0.70462674
BNIP3L,0.7046118
EGR2,0.70460117
GPT,0.7045821
ANGPT1,0.7045454
CDS2,0.7045263
KIDINS220,0.70452523
ZNF354A,0.7045201
SEMA3A,0.70446527
COPB1,0.7044585
DNAJC7,0.70445526
ALG2,0.70442617
SGCG,0.7044252
ST6GALNAC3,0.7044244
NDUFC1,0.7044239
CLDN22,0.7044085
ATP4B,0.70440054
DHX33,0.7043802
KRT81,0.70436716
PLCD1,0.70435876
GNAT2,0.7043456
CFP,0.7043387
MIB2,0.70432585
GRIN3A,0.7043252
GABBR2,0.7043085
OIP5,0.7043028
IL3RA,0.70429766
ELOA2,0.7042948
BSPRY,0.70428944
HIST1H3H,0.7042799
BCL2L13,0.70427126
GUCY1B1,0.7042507
NUBP2,0.7042083
IFNLR1,0.7041743
NUMA1,0.7041468
CYP2B6,0.7040782
CRX,0.704064
TNFRSF8,0.7040106
AVP,0.70400685
AVPR1A,0.7040004
SLC39A7,0.7039622
EML3,0.70395315
GLUL,0.70394677
GGT7,0.70390695
MED31,0.7039017
KLRC2,0.70389163
ACOX2,0.70388603
KRT79,0.70388114
MACF1,0.70386827
ZNF79,0.70386547
GCNT1,0.70386195
AAMDC,0.70383275
MRPS22,0.70380586
DUOX2,0.7038037
CLEC12A,0.7038032
HS3ST3A1,0.70377696
HIST1H3B,0.7037755
SEMA4G,0.7037512
VPS16,0.7037417
MEP1B,0.7037357
GPX2,0.70372665
IDH1,0.703704
ZNF438,0.7037039
SNTB1,0.7037019
CYP3A43,0.7036955
MCC,0.7036478
IVL,0.7036053
FBP2,0.7036022
ZNF337,0.7035966
TFAP2C,0.70358884
CPA1,0.70354575
ZBTB25,0.7035417
UQCR10,0.7035303
FUCA2,0.70347995
UNC45A,0.7034644
S100A10,0.7034642
ELANE,0.7034631
F11R,0.70344627
ZNF7,0.7034099
SLC27A4,0.70340705
VMP1,0.7033807
PBRM1,0.70335186
TFRC,0.70335126
LPAR4,0.7033347
FAM161A,0.70332754
HIST1H3A,0.70332694
GSK3A,0.70326537
TRPM6,0.7032621
SCTR,0.7032337
PMM1,0.703228
ZNF596,0.70322245
NLGN4X,0.70321655
CHST9,0.7032153
NOX1,0.7032105
MRPS34,0.7031995
DCAF4,0.70319927
KCNJ1,0.70318
GPC3,0.70317125
ZNF430,0.70316696
NPC1,0.7031511
KIF2A,0.70314014
ACADL,0.70313966
PGAM5,0.7031097
NEU2,0.7030996
COPA,0.7030987
MTMR4,0.70309734
GP5,0.70308733
ACOT1,0.70306957
ATXN7,0.7030589
ELOVL1,0.7030469
ADORA2B,0.7030403
ITPA,0.70302594
PHYKPL,0.703025
MAG,0.7030031
APOBEC3G,0.7029952
RHO,0.7029926
ZNF557,0.7029867
ZNF675,0.70295143
MCU,0.7029458
TENT4A,0.70293796
CENPJ,0.7029173
MARCO,0.70288575
RHOXF2,0.7028772
NAT2,0.70287603
GBP4,0.702876
NAP1L1,0.7028424
OR2S2,0.7028169
CD2BP2,0.7027902
SPARC,0.7027838
PKP1,0.7027602
ERC1,0.7027523
ZNF19,0.70273995
TRAK2,0.70272684
GMPR2,0.70271707
LMBR1,0.7026987
AZU1,0.70265687
MRI1,0.70263135
PEX6,0.7026013
ZNF160,0.7025945
POLB,0.7025699
COPG1,0.70256656
TECR,0.70255274
APOBEC3A,0.7025286
EIF3C,0.7025113
RIOK1,0.7024343
ZNF559,0.70243216
PEX1,0.70234644
DDIT4,0.7023376
DGKA,0.702327
MRPL58,0.7023034
OXT,0.70228904
HCN2,0.70227545
ICOSLG,0.7022712
SPCS1,0.7022549
PTPRCAP,0.70225406
LTB4R,0.70222366
ELOA,0.7022139
KRT72,0.7021961
HSPG2,0.70219535
SGTA,0.70216584
DGKB,0.7021634
NAGK,0.7021446
ZNF232,0.70213336
CER1,0.702124
ZMYND8,0.7021177
ARL8A,0.70210093
FCGR2B,0.70207214
CACNA1G,0.7020709
GTPBP3,0.70206946
TAS2R7,0.70205736
CARD9,0.7020518
ERMP1,0.70200795
CERS4,0.7020049
NLGN1,0.7020037
KRT86,0.7020035
PHKA1,0.7019875
SEMA3E,0.7019713
GALR2,0.7019624
CERS6,0.70195043
RAB37,0.7019452
SLC6A12,0.70194334
ADRB3,0.70194197
CD8B,0.7019149
PKD2L1,0.70191354
ZNF48,0.70189846
CATSPER1,0.7018627
CDIPT,0.7017912
ZNF599,0.7017729
USP9X,0.7017728
ZNF205,0.7017452
GPR42,0.7017402
EIF3M,0.701739
MCRS1,0.7017245
HRH3,0.70171523
HAUS7,0.701713
RBM3,0.70168495
CRTC2,0.7016587
PHACTR3,0.70164764
CADM1,0.70160264
CACNA1D,0.7015671
MRAS,0.7015543
HTR5A,0.7015424
FFAR2,0.7015311
ABCF2,0.70153046
MMP3,0.7015257
MRPL37,0.7015211
PLAGL2,0.7015071
ARFGAP2,0.7014947
TRIM7,0.7014863
ADORA2A,0.7014834
ATP1A4,0.7014706
KCNN1,0.7014472
P2RY4,0.7013931
DRD5,0.7013806
CEP19,0.70137644
PROM1,0.70137066
PANX1,0.7013527
TP53INP2,0.7013017
FURIN,0.7012898
RABGEF1,0.7012865
LYPLA1,0.70128536
ZNF581,0.7012813
TCEA1,0.7012782
ZFYVE27,0.70126146
TNS4,0.70126027
PIP4K2C,0.70125914
RMND1,0.70125216
RAB33B,0.701251
EDA2R,0.7012417
TYMP,0.7012316
LPIN1,0.7012296
ITGA8,0.70122457
TNFRSF4,0.70121926
PNPO,0.70121306
ALPL,0.7011878
HTR2C,0.7011818
SLURP1,0.7011706
